"lang"
{
"Language"	"russian"
		"DOTA_Tooltip_ability_item_imba_pipe_Note1"                                "Defiance continues applying the magic resistance buff even if the magical shield depletes from magical damage."
		"DOTA_Tooltip_ability_item_imba_pipe_Lore"                                 "A powerful artifact of mysterious origin, it creates barriers against magical forces."
		"DOTA_Tooltip_ability_item_imba_pipe_bonus_health_regen"                   "+$hp_regen"
		"DOTA_Tooltip_ability_item_imba_pipe_bonus_magic_resist"                   "%BONUS MAGIC RESISTANCE:"                        
		"DOTA_Tooltip_ability_item_imba_pipe_aura_radius"                          "AURA RADIUS:"        
		"DOTA_Tooltip_ability_item_imba_pipe_unreducable_magic_resist"             "%GREATER DEFIANCE MINIMUM MAGIC RESISTANCE:"
		"DOTA_Tooltip_ability_item_imba_pipe_duration"                             "GREATER DEFIANCE DURATION:"

		"DOTA_Tooltip_modifier_imba_pipe_aura"                                     "Insight Aura"
		"DOTA_Tooltip_modifier_imba_pipe_aura_Description"                         "Gaining bonus health regeneration and magic resistance. Debuff duration decreased."

		"DOTA_Tooltip_modifier_imba_pipe_active_bonus"                             "Greater Defiance"
		"DOTA_Tooltip_modifier_imba_pipe_active_bonus_Description"                 "Your magic resistance cannot be reduced below a certain point."
		
		//=================================================================================================================
		// Poor Man's Shield
		//=================================================================================================================

		"DOTA_Tooltip_Ability_item_imba_poor_mans_shield"                           "Poor Man's Shield"
		"DOTA_Tooltip_ability_item_imba_poor_mans_shield_Description"               "<h1>Пассивная: Block</h1> Частично блокирует получаемый урон. Герои дальнего боя, блокируют 60% от указанного блока."
		"DOTA_Tooltip_ability_item_imba_poor_mans_shield_Lore"                      "Потрескавшийся старый щит, который, однако, способен защищать сильнее, чем кажется на первый взгляд. "
		"DOTA_Tooltip_ability_item_imba_poor_mans_shield_Note0"                     "Блокирование урона, Уменьшение урона и Сопротивление эффектам от Stout Shield, Poor Man's Shield, Vanguard, Crimson Guard or Tutela Plate не складываются с самим собой и друг с другом.."
		"DOTA_Tooltip_ability_item_imba_poor_mans_shield_bonus_agi"                 "+$all"
		"DOTA_Tooltip_ability_item_imba_poor_mans_shield_damage_block"              "БЛОКИРУЕТ УРОНА:"

		//=================================================================================================================
		// Purgeblade
		//=================================================================================================================

		"DOTA_Tooltip_Ability_item_imba_diffusal_blade_2"                           "Purgeblade"
		"DOTA_Tooltip_ability_item_imba_diffusal_blade_2_Description"               "<h1>Active: Combust</h1> Purges a target enemy, removing its purgable buffs and slowing it.<font color='#FF7800'> Each buff removed in this manner immediately burns %dispel_burn% mana, dealing it as magical damage.</font> The slow decays over the duration. Non-hero enemies are also rooted for %root_duration% seconds.\n<h1>Passive: Mana Burn</h1> Your attacks burn up to %mana_burn% mana and deal it as bonus physical damage.\n<h1><font color='#FF7800'>Passive: Mana Combustion</font></h1> Has a %dispel_chance_pct%% chance to combust one random buff from the enemy with every hit, burning %dispel_burn% mana and dealing it as magical damage."
		"DOTA_Tooltip_ability_item_imba_diffusal_blade_2_Note0"                     "Mana Burn works partially on your illusions, burning 25 mana. Does not pierce Spell Immunity."
		"DOTA_Tooltip_ability_item_imba_diffusal_blade_2_Note1"                     "Mana Burn does not stack with different versions of Diffusal Blade and its upgrades."
		"DOTA_Tooltip_ability_item_imba_diffusal_blade_2_Lore"                      "The fabled Sword of Godec."
		"DOTA_Tooltip_ability_item_imba_diffusal_blade_2_total_slow_duration"       "PURGE SLOW DURATION:"
		"DOTA_Tooltip_ability_item_imba_diffusal_blade_2_initial_charges"           "PURGE CHARGES:"
		"DOTA_Tooltip_ability_item_imba_diffusal_blade_2_mana_burn"                 "MANA BURNED PER HIT:"        
		"DOTA_Tooltip_ability_item_imba_diffusal_blade_2_bonus_agi"                 "+$agi"
		"DOTA_Tooltip_ability_item_imba_diffusal_blade_2_bonus_int"                 "+$int"

		//=================================================================================================================
		// Radiance
		//=================================================================================================================

		"DOTA_Tooltip_Ability_item_imba_radiance"                                   "Radiance"
		"DOTA_Tooltip_ability_item_imba_radiance_Description"                       "<h1>Toggle: Burn</h1> When active, scorches enemies for %base_damage% damage per second, and causes them to miss %miss_chance%% of their attacks.\n<h1><font color='#FF7800'>Passive: Sunburn</font></h1> Deals bonus damage equal to %extra_damage%% of the target's current health.\n<h1><font color='#FF7800'>Passive: Afterburn</font></h1> The burn effect lingers even after leaving the area. Burns enemies for an extra second for every %stack_decay% they spent inside the burn AOE."   
		"DOTA_Tooltip_ability_item_imba_radiance_Lore"                              "A divine weapon that causes damage and a bright burning effect that lays waste to nearby enemies."
		"DOTA_Tooltip_ability_item_imba_radiance_Note0"                             "Illusions do not apply Afterburn stacks."
		"DOTA_Tooltip_ability_item_imba_radiance_Note1"                             "While affected by both the regular burn and Afterburn, Afterburn is paused."
		"DOTA_Tooltip_ability_item_imba_radiance_base_damage"                       "DAMAGE PER SECOND:"
		"DOTA_Tooltip_ability_item_imba_radiance_miss_chance"                       "%MISS CHANCE:"
		"DOTA_Tooltip_ability_item_imba_radiance_bonus_damage"                      "+$damage"

		"DOTA_Tooltip_modifier_imba_radiance_burn"                                  "Radiance Burn"
		"DOTA_Tooltip_modifier_imba_radiance_burn_Description"                      "Blinded and taking damage over time until moving away from the Radiance wielder."

		"DOTA_Tooltip_modifier_imba_radiance_afterburn"                             "Radiance Afterburn"
		"DOTA_Tooltip_modifier_imba_radiance_afterburn_Description"                 "Blinded and taking damage over time until stacks are depleted"

		//=================================================================================================================
		// Reverb Sabre
		//=================================================================================================================

		"DOTA_Tooltip_Ability_item_imba_reverb_rapier"                              "Reverb Sabre"
		"DOTA_Tooltip_ability_item_imba_reverb_rapier_Description"                  "<h1>Passive: Superb Reverb</h1> When off-cooldown, causes your attacks to hit <font color='#FF7800'>three</font> times in quick succession. Tri-attacks apply a %slow_duration% second %movement_slow%% movement and attack speed slow.\n<h1><font color='#FF7800'>Passive: Blasts From Afar</font></h1> Can be used by ranged heroes, but with a higher cooldown."
		"DOTA_Tooltip_ability_item_imba_reverb_rapier_Lore"                         "Faced with the challenge of combining two Echo Sabres' magic into a single blade, the runesmiths of the Ruined City asked themselves only if they could - never if they should."
		"DOTA_Tooltip_ability_item_imba_reverb_rapier_Note0"                        "Upon proccing, grants the user 720 attack speed or triples your current bonus, whichever is higher, until the next attack."
		"DOTA_Tooltip_ability_item_imba_reverb_rapier_bonus_intellect"              "+$int"
		"DOTA_Tooltip_ability_item_imba_reverb_rapier_bonus_strength"               "+$str"
		"DOTA_Tooltip_ability_item_imba_reverb_rapier_bonus_attack_speed"           "+$attack"
		"DOTA_Tooltip_ability_item_imba_reverb_rapier_bonus_damage"                 "+$damage"
		"DOTA_Tooltip_ability_item_imba_reverb_rapier_bonus_mana_regen"             "%+$mana_regen"
		"DOTA_Tooltip_ability_item_imba_reverb_rapier_ranged_cooldown"              "RANGED COOLDOWN:"

		"DOTA_Tooltip_modifier_item_imba_reverb_rapier_slow"                        "Reverb Rapier"
		"DOTA_Tooltip_modifier_item_imba_reverb_rapier_slow_Description"            "Movement and attack speed slowed"

		//=================================================================================================================
		// Rusty Old Shotgun
		//=================================================================================================================

		"DOTA_Tooltip_Ability_item_imba_shotgun"                                    "Rusty Old Shotgun"
		"DOTA_Tooltip_ability_item_imba_shotgun_Description"                        "<h1>Passive: Shotgun!</h1> When off cooldown, ranged heroes that wield it when attacking also fire three small projectiles, dealing %agility_pct_ranged%%  of their agility as damage. If all three projectiles hit the same enemy, it is stunned for %ranged_proj_stun% seconds. \n<h1>Passive: Double Barreled</h1> Melee heroes deal %agility_pct_melee%% of their agility as an additional damage to their target."
		"DOTA_Tooltip_ability_item_imba_shotgun_Lore"                               "An old, barely functional shotgun. No one knows how it got here!"                
		"DOTA_Tooltip_ability_item_imba_shotgun_Note0"                              "Does not proc on-hit effects."
		"DOTA_Tooltip_ability_item_imba_shotgun_Note1"                              "Bonus effect! the projectiles are colored depending on the theme of the hero."
		"DOTA_Tooltip_ability_item_imba_shotgun_Note2"                              "Holding Spellfencer will change the projectile's damage type from physical to magical."
		"DOTA_Tooltip_ability_item_imba_shotgun_bonus_damage"                       "+$damage"
		"DOTA_Tooltip_ability_item_imba_shotgun_bonus_as"                           "+$attack"
		"DOTA_Tooltip_ability_item_imba_shotgun_bonus_agi"                          "+$agi"

		//=================================================================================================================
		// Sange
		//=================================================================================================================

		"DOTA_Tooltip_Ability_item_imba_sange"                                      "Sange"
		"DOTA_Tooltip_ability_item_imba_sange_Description"                          "<h1>Passive: Maim</h1> Attacking enemies slows their movement and attack speed. Stacks up to %max_stacks% times.\n<h1>Passive: Disarm Strike</h1> %proc_chance%% chance to disarm your target for %proc_duration_enemy% seconds with each attack."
		"DOTA_Tooltip_ability_item_imba_sange_Lore"                                 "Sange is an unusually accurate weapon, seeking weak points automatically."
		"DOTA_Tooltip_ability_item_imba_sange_Note0"                                "Procs from Sange, Yasha, Azura and their upgrades all share the same cooldown."
		"DOTA_Tooltip_ability_item_imba_sange_Note1"                                "Maim from different sources does not stack."
		"DOTA_Tooltip_ability_item_imba_sange_maim_stack"                           "%MAIM SLOW:"
		"DOTA_Tooltip_ability_item_imba_sange_stack_duration"                       "MAIM DURATION:"
		"DOTA_Tooltip_ability_item_imba_sange_bonus_damage"                         "+$damage"
		"DOTA_Tooltip_ability_item_imba_sange_bonus_strength"                       "+$str"

		"DOTA_Tooltip_modifier_item_imba_sange_maim"                                "Maim"
		"DOTA_Tooltip_modifier_item_imba_sange_maim_Description"                    "Slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%% move and %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% attack speed."

		//=================================================================================================================
		// Sange and Azura
		//=================================================================================================================

		"DOTA_Tooltip_Ability_item_imba_sange_azura"                                "Sange and Azura"
		"DOTA_Tooltip_ability_item_imba_sange_azura_Description"                    "<h1>Passive: Soul Maim</h1> Attacking enemies slows their movement and attack speed and makes them more vulnerable to magic damage. Stacks up to %max_stacks% times.\n<h1>Passive: Spirit Disarm Strike</h1> %proc_chance%% chance to disarm and silence your target for %proc_duration_enemy% seconds with each attack.\n<h1>Passive: Quickspell</h1> grants %bonus_cdr%% nonstacking cooldown reduction."
		"DOTA_Tooltip_ability_item_imba_sange_azura_Lore"                           "Sange and Azura, attuned by dusk and used together, become a powerful combination."
		"DOTA_Tooltip_ability_item_imba_sange_azura_Note0"                          "Procs from Sange, Yasha, Azura and their upgrades all share the same cooldown."
		"DOTA_Tooltip_ability_item_imba_sange_azura_Note1"                          "Maim or Soul Rend from different sources does not stack."
		"DOTA_Tooltip_ability_item_imba_sange_azura_Note2"                          "Cooldown reduction does not stack with itself or other Azura upgrades."
		"DOTA_Tooltip_ability_item_imba_sange_azura_maim_stack"                     "%SOUL MAIM SLOW:"
		"DOTA_Tooltip_ability_item_imba_sange_azura_amp_stack"                      "%SOUL MAIM MAGIC AMP:"
		"DOTA_Tooltip_ability_item_imba_sange_azura_stack_duration"                 "SOUL MAIM DURATION:"
		"DOTA_Tooltip_ability_item_imba_sange_azura_bonus_damage"                   "+$damage"
		"DOTA_Tooltip_ability_item_imba_sange_azura_bonus_strength"                 "+$str"
		"DOTA_Tooltip_ability_item_imba_sange_azura_bonus_int"                      "+$int"

		"DOTA_Tooltip_modifier_item_imba_sange_azura_stacks"                        "Soul Maim"
		"DOTA_Tooltip_modifier_item_imba_sange_azura_stacks_Description"            "Slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%% move and %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% attack speed, and taking %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%% extra magic damage."

		//=================================================================================================================
		// Sange and Yasha
		//=================================================================================================================

		"DOTA_Tooltip_Ability_item_imba_sange_yasha"                                "Sange and Yasha"
		"DOTA_Tooltip_ability_item_imba_sange_yasha_Description"                    "<h1>Passive: Maiming Rhythm</h1> Attacking enemies slows their movement and attack speed, and grants you %as_stack% bonus attack speed. Stacks up to %max_stacks% times.\n<h1>Passive: Swift Disarm Strike</h1> %proc_chance%% chance to disarm your target for %proc_duration_enemy% seconds, while granting you %proc_ms%% movement speed for %proc_duration_self% seconds, with each attack."
		"DOTA_Tooltip_ability_item_imba_sange_yasha_Lore"                           "Sange and Yasha, attuned by high noon and used together, become a powerful combination."
		"DOTA_Tooltip_ability_item_imba_sange_yasha_Note0"                          "Procs from Sange, Yasha, Azura and their upgrades all share the same cooldown."
		"DOTA_Tooltip_ability_item_imba_sange_yasha_Note1"                          "Maim or Battle Rhythm from different sources does not stack."
		"DOTA_Tooltip_ability_item_imba_sange_yasha_Note2"                          "Movement speed bonus does not stack with itself or other Yasha upgrades."
		"DOTA_Tooltip_ability_item_imba_sange_yasha_stack_duration"                 "MAIMING RHYTHM DURATION:"
		"DOTA_Tooltip_ability_item_imba_sange_yasha_bonus_damage"                   "+$damage"
		"DOTA_Tooltip_ability_item_imba_sange_yasha_bonus_strength"                 "+$str"
		"DOTA_Tooltip_ability_item_imba_sange_yasha_bonus_attack_speed"             "+$attack"
		"DOTA_Tooltip_ability_item_imba_sange_yasha_bonus_agility"                  "+$agi"
		"DOTA_Tooltip_ability_item_imba_sange_yasha_bonus_ms"                       "%+$move_speed"

		"DOTA_Tooltip_modifier_item_imba_sange_yasha_maim"                          "Maim"
		"DOTA_Tooltip_modifier_item_imba_sange_yasha_maim_Description"              "Slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%% move and %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% attack speed."

		"DOTA_Tooltip_modifier_item_imba_sange_yasha_stacks"                        "Battle Rhythm"
		"DOTA_Tooltip_modifier_item_imba_sange_yasha_stacks_Description"            "Gaining %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% bonus attack speed."

		//=================================================================================================================
		// Satanic
		//=================================================================================================================

		"DOTA_Tooltip_Ability_item_imba_satanic"                                    "Satanic"
		"DOTA_Tooltip_Ability_item_imba_satanic_Description"                        "<h1>Active: Unholy Rage</h1> Increases lifesteal percentage by %unholy_rage_lifesteal_bonus%% for %unholy_rage_duration% seconds.\n<h1>Passive: Lifesteal</h1> heals the attacker for a percentage of attack damage dealt.\n<h1><font color='#FF7800'>Passive: Soul Slaughter</font></h1> Last hitting an enemy with an attack grants stacks of Soul Slaughter equal to %soul_slaughter_hp_increase_pct%% of the target's maximum health, up to a maximum of stacks equal to %soul_slaughter_max_hp_pct%% of your original maximum health. Each stack increases your maximum health and damage for the duration.<br>Stacks have independent durations, and they do not refresh each other."       
		"DOTA_Tooltip_Ability_item_imba_satanic_Note0"                              "Only gains buffs when directly auto attacking an enemy unit. AoE effects and spells do not count."
		"DOTA_Tooltip_Ability_item_imba_satanic_damage_bonus"                       "+$damage"
		"DOTA_Tooltip_Ability_item_imba_satanic_strength_bonus"                     "+$str"
		"DOTA_Tooltip_Ability_item_imba_satanic_lifesteal_pct"                      "%LIFESTEAL:"
		"DOTA_Tooltip_Ability_item_imba_satanic_soul_slaughter_duration"            "SOUL SLAUGHTER DURATION:"
		"DOTA_Tooltip_Ability_item_imba_satanic_soul_slaughter_damage_per_stack"    "SOUL SLAUGHTER DAMAGE PER STACK:"
		"DOTA_Tooltip_Ability_item_imba_satanic_soul_slaughter_hp_per_stack"        "SOUL SLAUGHTER HP PER STACK:"

		"DOTA_Tooltip_modifier_imba_satanic_active"                                 "Unholy Rage"
		"DOTA_Tooltip_modifier_imba_satanic_active_Description"                     "Gaining a huge amount of lifesteal."

		"DOTA_Tooltip_modifier_imba_satanic_soul_slaughter"                         "Soul Slaughter"
		"DOTA_Tooltip_modifier_imba_satanic_soul_slaughter_Description"             "Slain creeps and heroes' souls grant you bonus health and damage."

		"DOTA_Tooltip_Ability_item_satanic"										"Satanic lvl1"
		"DOTA_Tooltip_ability_item_satanic_Description"							"<h1>Активируемая: Unholy Rage</h1> <font size='smaller'>Увеличивает эффект вампиризма до %unholy_lifesteal_total_tooltip%%% на %unholy_duration% сек.</font>\n<h1>Пассивная: Lifesteal</h1> Каждая атака восстанавливает владельцу здоровье в размере %lifesteal_percent%%% от нанесённого урона."
		"DOTA_Tooltip_ability_item_satanic_Lore"								"Колоссальная сила в обмен на вашу душу."
		"DOTA_Tooltip_ability_item_satanic_bonus_damage"						"+$damage"
		"DOTA_Tooltip_ability_item_satanic_bonus_strength"						"+$str"
		"DOTA_Tooltip_ability_item_satanic_status_resistance"					"%+к сопротивлению эффектам"

		"DOTA_Tooltip_Ability_item_satanic_2"									"Satanic lvl2"
		"DOTA_Tooltip_ability_item_satanic_2_Description"						"<h1>Активируемая: Unholy Rage</h1> <font size='smaller'>Увеличивает эффект вампиризма до %unholy_lifesteal_total_tooltip%%% на %unholy_duration% сек.</font>\n<h1>Пассивная: Lifesteal</h1> Каждая атака восстанавливает владельцу здоровье в размере %lifesteal_percent%%% от нанесённого урона."
		"DOTA_Tooltip_ability_item_satanic_2_Lore"								"Колоссальная сила в обмен на вашу душу."
		"DOTA_Tooltip_ability_item_satanic_2_bonus_damage"						"+$damage"
		"DOTA_Tooltip_ability_item_satanic_2_bonus_strength"					"+$str"
		"DOTA_Tooltip_ability_item_satanic_2_status_resistance"					"%+к сопротивлению эффектам"

		"DOTA_Tooltip_Ability_item_satanic_3"									"Satanic lvl3"
		"DOTA_Tooltip_ability_item_satanic_3_Description"						"<h1>Активируемая: Unholy Rage</h1> <font size='smaller'>Увеличивает эффект вампиризма до %unholy_lifesteal_total_tooltip%%% на %unholy_duration% сек.</font>\n<h1>Пассивная: Lifesteal</h1> Каждая атака восстанавливает владельцу здоровье в размере %lifesteal_percent%%% от нанесённого урона."
		"DOTA_Tooltip_ability_item_satanic_3_Lore"								"Колоссальная сила в обмен на вашу душу."
		"DOTA_Tooltip_ability_item_satanic_3_bonus_damage"						"+$damage"
		"DOTA_Tooltip_ability_item_satanic_3_bonus_strength"					"+$str"
		"DOTA_Tooltip_ability_item_satanic_3_status_resistance"					"%+к сопротивлению эффектам"

		"DOTA_Tooltip_Ability_item_satanic_4"									"Satanic lvl4"
		"DOTA_Tooltip_ability_item_satanic_4_Description"						"<h1>Активируемая: Unholy Rage</h1> <font size='smaller'>Увеличивает эффект вампиризма до %unholy_lifesteal_total_tooltip%%% на %unholy_duration% сек.</font>\n<h1>Пассивная: Lifesteal</h1> Каждая атака восстанавливает владельцу здоровье в размере %lifesteal_percent%%% от нанесённого урона."
		"DOTA_Tooltip_ability_item_satanic_4_Lore"								"Колоссальная сила в обмен на вашу душу."
		"DOTA_Tooltip_ability_item_satanic_4_bonus_damage"						"+$damage"
		"DOTA_Tooltip_ability_item_satanic_4_bonus_strength"					"+$str"
		"DOTA_Tooltip_ability_item_satanic_4_status_resistance"					"%+к сопротивлению эффектам"

		"DOTA_Tooltip_Ability_item_mask_of_madness"								"Mask of Madness lvl1"
		"DOTA_Tooltip_ability_item_mask_of_madness_Description"					"<h1>Активируемая: Berserk</h1> Даёт владельцу %berserk_bonus_attack_speed% скорости атаки и %berserk_bonus_movement_speed% скорости передвижения, но уменьшает его броню на %berserk_armor_reduction% и запрещает ему применять способности. Действует %berserk_duration% сек.\n<h1>Пассивная: Lifesteal</h1> Каждая атака восстанавливает владельцу здоровье в размере %lifesteal_percent%%% от нанесённого урона."
		"DOTA_Tooltip_ability_item_mask_of_madness_Lore"						"Надев эту маску, воин впадает в безудержную ярость."
		"DOTA_Tooltip_ability_item_mask_of_madness_bonus_damage"				"+$damage"
		"DOTA_Tooltip_ability_item_mask_of_madness_bonus_attack_speed"			"+$attack"

		"DOTA_Tooltip_Ability_item_mask_of_madness_2"								"Mask of Madness lvl2"
		"DOTA_Tooltip_ability_item_mask_of_madness_2_Description"					"<h1>Активируемая: Berserk</h1> Даёт владельцу %berserk_bonus_attack_speed% скорости атаки и %berserk_bonus_movement_speed% скорости передвижения, но уменьшает его броню на %berserk_armor_reduction% и запрещает ему применять способности. Действует %berserk_duration% сек.\n<h1>Пассивная: Lifesteal</h1> Каждая атака восстанавливает владельцу здоровье в размере %lifesteal_percent%%% от нанесённого урона."
		"DOTA_Tooltip_ability_item_mask_of_madness_2_Lore"						"Надев эту маску, воин впадает в безудержную ярость."
		"DOTA_Tooltip_ability_item_mask_of_madness_2_bonus_damage"				"+$damage"
		"DOTA_Tooltip_ability_item_mask_of_madness_2_bonus_attack_speed"			"+$attack"

		"DOTA_Tooltip_Ability_item_mask_of_madness_3"								"Mask of Madness lvl3"
		"DOTA_Tooltip_ability_item_mask_of_madness_3_Description"					"<h1>Активируемая: Berserk</h1> Даёт владельцу %berserk_bonus_attack_speed% скорости атаки и %berserk_bonus_movement_speed% скорости передвижения, но уменьшает его броню на %berserk_armor_reduction% и запрещает ему применять способности. Действует %berserk_duration% сек.\n<h1>Пассивная: Lifesteal</h1> Каждая атака восстанавливает владельцу здоровье в размере %lifesteal_percent%%% от нанесённого урона."
		"DOTA_Tooltip_ability_item_mask_of_madness_3_Lore"						"Надев эту маску, воин впадает в безудержную ярость."
		"DOTA_Tooltip_ability_item_mask_of_madness_3_bonus_damage"				"+$damage"
		"DOTA_Tooltip_ability_item_mask_of_madness_3_bonus_attack_speed"			"+$attack"

		"DOTA_Tooltip_Ability_item_mask_of_madness_4"								"Mask of Madness lvl4"
		"DOTA_Tooltip_ability_item_mask_of_madness_4_Description"					"<h1>Активируемая: Berserk</h1> Даёт владельцу %berserk_bonus_attack_speed% скорости атаки и %berserk_bonus_movement_speed% скорости передвижения, но уменьшает его броню на %berserk_armor_reduction% и запрещает ему применять способности. Действует %berserk_duration% сек.\n<h1>Пассивная: Lifesteal</h1> Каждая атака восстанавливает владельцу здоровье в размере %lifesteal_percent%%% от нанесённого урона."
		"DOTA_Tooltip_ability_item_mask_of_madness_4_Lore"						"Надев эту маску, воин впадает в безудержную ярость."
		"DOTA_Tooltip_ability_item_mask_of_madness_4_bonus_damage"				"+$damage"
		"DOTA_Tooltip_ability_item_mask_of_madness_4_bonus_attack_speed"			"+$attack"
		
		//=================================================================================================================
		// Scythe of Vyse
		//=================================================================================================================

		"DOTA_Tooltip_Ability_item_imba_sheepstick"                                 "Scythe of Vyse"
		"DOTA_Tooltip_ability_item_imba_sheepstick_Description"                     "<h1>Active: Hex</h1> Transforms the target unit into a harmless critter for %hex_duration% seconds. Destroys illusions.\n<h1><font color='#FF7800'>Passive: Expeditious Retreat</font></h1> Can be used on yourself; applies a basic dispel, transforms you into a harmless critter, and grants fast flying movement. Lasts for %hex_duration% seconds.<br><font color='#00FF40'>While hexed by yourself, you are immune to being hexed by enemies.</font>"
		"DOTA_Tooltip_ability_item_imba_sheepstick_Note0"                           "Instantly destroys illusions."
		"DOTA_Tooltip_ability_item_imba_sheepstick_Note1"                           "Does not slow, but instead overrides the hexed unit's movement speed."
		"DOTA_Tooltip_ability_item_imba_sheepstick_Lore"                            "The most guarded relic among the cult of Vyse, it is the most coveted weapon among magi."
		"DOTA_Tooltip_ability_item_imba_sheepstick_bonus_strength"                  "+$str"
		"DOTA_Tooltip_ability_item_imba_sheepstick_bonus_agility"                   "+$agi"
		"DOTA_Tooltip_ability_item_imba_sheepstick_bonus_intellect"                 "+$int"
		"DOTA_Tooltip_ability_item_imba_sheepstick_bonus_mana_regen"                "%+$mana_regen"

		"DOTA_Tooltip_modifier_item_imba_sheepstick_debuff"                         "Hex"
		"DOTA_Tooltip_modifier_item_imba_sheepstick_debuff_Description"             "You are a harmless, helpless critter."

		"DOTA_Tooltip_modifier_item_imba_sheepstick_buff"                           "Hex"
		"DOTA_Tooltip_modifier_item_imba_sheepstick_buff_Description"               "You are a harmless, helpless critter... Which flies VERY fast."

		//=================================================================================================================
		// Shadow Blade
		//=================================================================================================================
		
		"DOTA_Tooltip_Ability_item_imba_shadow_blade"                               "Shadow Blade"
		"DOTA_Tooltip_ability_item_imba_shadow_blade_Description"                   "<h1>Active: Shadow Walk</h1>Makes you invisible for %invis_duration% seconds, or until you attack or cast a spell.  While Shadow Walk is active, you move %invis_ms_pct%% faster and can move through units <font color='#FF7800'>and terrain</font>.  <br><br>If attacking to end the invisibility, you gain %invis_damage% bonus damage on that attack, <font color='#FF7800'>and apply <b>Shadowy Panic<b> to the target.</font> \n<h1><font color='#FF7800'>Passive: Shadowy Panic</font></h1> Attacking to break invisiblity cripples the target's senses, slowing their turn rate by %turnrate_slow%% for %turnrate_slow_duration% seconds."
		"DOTA_Tooltip_ability_item_imba_shadow_blade_Lore"                          "The blade of a fallen king, it allows you to move unseen and strike from the shadows."
		"DOTA_Tooltip_ability_item_imba_shadow_blade_Note0"                         "Has a 0.3 second fade time."
		"DOTA_Tooltip_ability_item_imba_shadow_blade_Note1"                         "If the invisibility ends without attacking, the bonus damage is lost."
		"DOTA_Tooltip_ability_item_imba_shadow_blade_Note2"                         "Upon taking hero-based damage, terrain walking is disabled for 2 seconds."
		"DOTA_Tooltip_ability_item_imba_shadow_blade_bonus_damage"                  "+$damage"
		"DOTA_Tooltip_ability_item_imba_shadow_blade_bonus_attack_speed"            "+$attack"
		"DOTA_Tooltip_ability_item_imba_shadow_blade_invis_duration"                "SHADOW WALK DURATION:"
		"DOTA_Tooltip_ability_item_imba_shadow_blade_invis_damage"                  "SHADOW WALK DAMAGE:"
		"DOTA_Tooltip_ability_item_imba_shadow_blade_turnrate_slow"                 "%PANIC TURNRATE SLOW:"
		"DOTA_Tooltip_ability_item_imba_shadow_blade_turnrate_slow_duration"        "PANIC DURATION:"
		
		"DOTA_Tooltip_modifier_item_imba_shadow_blade_invis"                        "Shadow Walk"
		"DOTA_Tooltip_modifier_item_imba_shadow_blade_invis_Description"            "Invisible as the wind. Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%% and you can move through units and terrain. Attacking to break invisibility will deal bonus damage and slow turnrate"

		"DOTA_Tooltip_modifier_item_imba_shadow_blade_invis_turnrate_debuff"                "PANIC"
		"DOTA_Tooltip_modifier_item_imba_shadow_blade_invis_turnrate_debuff_Description"    "WHY ARE YOU LOOKING AT THIS DEBUFF INSTEAD OF RUNNING AWAY (turn rate slowed)"


		//=================================================================================================================
		// Shiva's Guard
		//=================================================================================================================

		"DOTA_Tooltip_Ability_item_imba_shivas_guard"                               "Shiva's Guard"
		"DOTA_Tooltip_ability_item_imba_shivas_guard_Description"                   "<h1>Active: Arctic Blast</h1> Emits a freezing wave that does %damage% damage to enemies and slows their movement and attack speed by %initial_slow_tooltip%%/%initial_slow_tooltip%. The slow decays over the next %slow_duration_tooltip% seconds.\n<h1>Passive: Freezing Aura</h1> Reduces the attack speed of enemies in %aura_radius% range by %aura_as_reduction%%."
		"DOTA_Tooltip_ability_item_imba_shivas_guard_Lore"                          "Said to have belonged to a goddess, today it retains much of its former power."
		"DOTA_Tooltip_ability_item_imba_shivas_guard_Note0"                         "The wave extends at a speed of 350 to a max size of 900."
		"DOTA_Tooltip_ability_item_imba_shivas_guard_Note1"                         "The Arctic Blast follows its caster."
		"DOTA_Tooltip_ability_item_imba_shivas_guard_Note2"                         "Multiple instances of Freezing Aura do not stack."
		"DOTA_Tooltip_ability_item_imba_shivas_guard_aura_as_reduction"             "AURA ATTACK SLOW:"
		"DOTA_Tooltip_ability_item_imba_shivas_guard_bonus_int"                     "+$int"
		"DOTA_Tooltip_ability_item_imba_shivas_guard_bonus_armor"                   "+$armor"
		"DOTA_Tooltip_ability_item_imba_shivas_guard_damage"                        "BLAST DAMAGE:"
		"DOTA_Tooltip_ability_item_imba_shivas_guard_initial_slow_tooltip"          "%BLAST MOVEMENT SLOW:"
